Product_ID,Production_Date,PublicKey,PrivateKey,Seed,RandomSecret,TransactionHash,Transporter,Sales_Channel,City,Sale_Date,Sale_Price,Lot_Number,Return_Frequency,Date,Traffic_Conditions,Supply_Chain_Disruptions,Weather_Conditions,Counterfeit
4f03ae73-628d-4460-b7c1-d738b03a43c5,2021-01-12,198475,369915,148018,8bf236717150921fd7ad7d2ab23b233c8fd2744214d202038436c857897135d5,ba0b11bf1e7216c327610ee56adf905a776b251dc81199cfdfd5eaade7636e50,Global Move,Amazon Italia,Roma,2023-07-04,254.7,Lot-137,0,2023-05-04,Medium,No,Rainy,1
3e32c640-6837-4b16-aa9b-04637dd516ea,2021-01-16,313267,775347,543146,5bd398daf0e3ba74bc18af43eb06e3d6a9b0cb49cf0f9ce0e0919313b707096b,b141882a60f65e9551c459c110fbe371aaa13841423ebe13a0f05991e1fd5607,Direct Logistics,Amazon Italia,Milano,2024-04-11,229.16,Lot-132,0,2022-07-27,Medium,No,Sunny,1
5a5da192-c925-4d46-b23d-41c1d29005b2,2021-01-20,208907,701414,987204,24a983f0784c494092794cc330a37505e9132a07689b1a4a8c1a7388cb98986c,1b0e32ba4633f4090a56deec447313b4bc268f08b2f46736f9b950f47a378d71,Quick Ship,Amazon Italia,Napoli,2023-08-22,253.6,Lot-134,1,2023-09-12,Low,No,Cloudy,1
5f1ce528-e935-4e86-93cc-76943a23af2e,2021-01-23,284877,521703,412322,db61b12a13ceecef0cd4d1d0b276659efe80b89d883d2ca354de08f6d84d9228,9bed172ff137f56b7c818c2cba912cf418246c3144221a3cb9964b7030d06689,Quick Ship,Amazon Italia,Venezia,2023-08-05,379.27,Lot-194,0,2024-03-03,High,No,Sunny,1
68970b78-400a-4644-991b-16fcdbde6215,2021-02-09,326253,680393,666478,e6edee6ebe543572fef6097ca0868c1176f2ae6eb9414738c09163392501f543,1eaca02e5c4e94d8046883690b8bc4d6a72296821d035640a9d4df76f0e89fa7,Global Move,Amazon Italia,Verona,2023-09-17,257.66,Lot-196,1,2024-02-14,Low,Yes,Cloudy,1
0f455839-7c62-4a3b-aa5f-5532374794a1,2021-02-15,168399,979842,550749,50b307c7e59c0cbdaed290c46f4ebc5f1e28b8b054c19de41aed91cf127dc63c,f85f3a203d2f4598ff8f1c8901836b62a40ba5ebd0d34c056e270788fb2bd4b0,Quick Ship,Amazon Italia,Torino,2023-09-26,251.15,Lot-163,1,2023-02-06,High,No,Sunny,1
71672cbf-a1ef-45c5-86a3-d10b835ea974,2021-03-04,978104,69503,490401,8c1ef013c33f53a9a8a3799e3a47e9bc534a956e365a449dd64e99bd840ccddc,c6fb919193887592538c923fe32e3c9365f4392d7c34d9e504e52ac4ae4617f3,InterCity Courier,Amazon Italia,Napoli,2023-01-05,249.33,Lot-162,0,2023-08-14,High,Yes,Rainy,1
0347a339-bca3-48b0-a2a3-7f0af384f993,2021-03-09,64303,727374,505182,57e36f0c3d578dc8606eeb9f6c73aef917eefce9dc2c5510a5b00244192da796,975a35e94b863ce7dd58931f1967d74e2c9d7e546bd0173808b7936e171efdd7,Quick Ship,Amazon Italia,Padova,2023-04-28,285.15,Lot-149,0,2022-10-13,Medium,No,Rainy,1
91428ae2-0955-4bca-8c6a-49a3fe91d40e,2021-03-11,866223,740702,307757,dd56fc2819c8daf457bf02227163b5cb6cf35aefad425402dd29f073749af9c8,891271ff82093d345982dd8e70925c29522c901b8f4001c1008f15d76aa7fcbb,Euro Transport,Amazon Italia,Napoli,2023-11-28,309.0,Lot-146,1,2022-08-19,Medium,Yes,Rainy,1
766b8dc5-25f5-400e-bf30-db553d1ea063,2021-03-19,431053,25938,125491,ed808a9065fffd2e1f8b26c2dab53acdea252e642182ed974309b331ad41698d,2f1563782b2702fa3463d870421b3dfaed9defd9a1df237173ba720186184adb,RapidWay Trans,Amazon Italia,Venezia,2023-02-17,252.49,Lot-153,0,2024-02-14,Medium,Yes,Cloudy,1
be5650ac-613c-44b3-9a62-7ec5553813da,2021-03-22,48860,598054,559255,60ffd93e4810979fe1ae7c3c20171451aa69f9fdc9420a9a191bada8b1187b81,47e3406eb8100fe23dafe65173bdaeee2657a5ea31d627b0abaccd33fc055617,Euro Transport,Amazon Italia,Milano,2024-02-04,131.09,Lot-162,1,2023-12-07,High,No,Sunny,1
fcbd87de-f856-464b-ae37-03cf36b88b68,2021-03-27,832242,599431,962953,eee5b8b25276d22eed2c09a63c8bd123244d7e4d200fc6d6d18a7b8b6b6a2aa7,9207069134644f604ca3751a24257369d35bbef3b2510488d8d3b448af7897b2,Direct Logistics,Amazon Italia,Torino,2024-01-14,300.95,Lot-129,0,2023-03-11,Low,Yes,Rainy,1
81276b20-8698-4606-a028-57a57bb177a4,2021-04-01,42933,245319,782289,0e73d987ec0906466f28a2c149efd186694402bce944e28d7d73038a33ac0997,de57f7a38ade5f7dca6c761a312324501cbe863a6f9e180854ce123fc3232c3c,Global Move,Amazon Italia,Napoli,2022-10-10,221.61,Lot-148,1,2022-09-08,Medium,No,Sunny,1
8943f83b-aa08-438e-8d22-4b216685d251,2021-04-05,820802,481903,642119,e5980ca4adee74cacd4ba1c67d148319a492ec8b94cc41b650c2063fd16c8ed4,2cb6790eee11b5f25bf6f0db2f36a0e1a60c6af74a8797673145d8fcc22b01ef,RapidWay Trans,Amazon Italia,Bologna,2023-01-08,273.08,Lot-134,0,2023-03-03,Medium,Yes,Sunny,1
ff875d6a-22ff-4d8d-aff2-76e6d3f8a747,2021-04-21,880598,859346,496754,e88a87222675531f3def9b3f105c9512a23fa8d02c3114ff26fca7dbf77889d4,8d9a143c65e3ee51c53da7af21a88b714e2cf9474bae86cbf8ba97f7ee97850d,RapidWay Trans,Amazon Italia,Roma,2022-09-18,342.52,Lot-196,0,2022-10-12,High,No,Rainy,1
9f26dd93-e5f3-4399-8d05-ca3458a26c38,2021-04-23,282485,419232,848004,93d2cdc479f3c963f6564bbda9deffa98004e88a5306cd8c434b641f08a8e090,3a98be6d9997f60a1aa67219d59738dce6e32119a1f1241653f2260367ea0a33,Logistica Italia,Amazon Italia,Parma,2022-12-01,248.04,Lot-155,0,2022-06-09,Medium,No,Rainy,1
ac1d8408-c8f7-476a-9655-8589ecb4dc2e,2021-04-24,435796,283350,719083,c2aec90c80c5dec52cc50a4d142ab63f50998b485a45ea4304d7d4746866ccc8,06688ca595b1a58770240f02422ec89b4179bb9d2b9823c94b9283f2d9c2a9c1,Euro Transport,Amazon Italia,Verona,2022-06-21,240.68,Lot-145,0,2022-11-22,Low,No,Cloudy,1
39af5dd4-18f9-41ef-9827-0042888b3481,2021-05-29,827480,705215,826179,88f8b5c7eb5cc2d84c522cee1000bce6ec29810697b133d07187ce44e47efef8,c2f79c26194e2e78d8bcbf03922fd70ae5ca312da5a9d5b58207ed64133720f0,Quick Ship,Amazon Italia,Firenze,2022-11-26,269.74,Lot-111,0,2022-10-05,Low,No,Sunny,1
